qid,label,osm_type,osm_id,website,description,opening_hours,opening_hours:note,source:opening_hours
Q121352030,"Grillplats, Storsand Ålö",node,1412263113,https://grillplatser.nu/Grillplats/Visa/Storsand-Alo,,,,
Q121433209,"Grillplats vid badstrand, Grinda",node,12759232983,https://grillplatser.nu/Grillplats/Visa/Grillplats-vid-badstrand,,,,
Q121433242,Grillplats Grinda tältplats syd västra 2,node,11145662490,https://grillplatser.nu/Grillplats/Visa/Grinda-taltplatsen-vastra-2,,,,
Q121433258,Östra grillplatsen vid tältplatsen 2,node,11145662491,https://grillplatser.nu/Grillplats/Visa/Ostra-grillplatsen-vid-taltplatsen-2,,,,
Q121715058,Rast- och grillplats Öja-Landsort,node,12662333661,https://www.naturkartan.se/sv/stockholms-lan/rast-och-grillplats-oja-landsort,Public fire pit with wooden benches accessible from adjacent road.,,,
Q131318799,Stockholm Archipelago Trail,relation,19012437,https://stockholmarchipelagotrail.com/,,,,
Q133366565,Arholma minneslund,way,513323289,https://www.arholma.nu/se-uppleva/minneslunden,,,,
Q133374185,SAT Lidö,relation,19020231,https://stockholmarchipelagotrail.com/section/section-lido/,,,,
Q133449160,SAT Landsort,relation,19013576,https://stockholmarchipelagotrail.com/section/section-landsort/,,,,
Q133502889,Grinda Wärdshus,node,4428110501,https://grinda.se/mat-fest/wardshuset/,,,,
Q133554956,SAT Nämdö,relation,19013473,https://stockholmarchipelagotrail.com/section/section-namdo/,,,,
Q133724231,SAT Rånö,relation,19015969,https://stockholmarchipelagotrail.com/section/section-rano/,,,,
Q133724236,SAT Ornö,relation,19023687,https://stockholmarchipelagotrail.com/section/section-orno/,,,,
Q133724237,SAT Fjärdlång,relation,19016280,https://stockholmarchipelagotrail.com/section/section-fjardlang/,,,,
Q133724239,SAT Svartsö,relation,19014515,https://stockholmarchipelagotrail.com/section/section-svartso/,,,,
Q133724240,SAT Brottö,relation,19141225,https://stockholmarchipelagotrail.com/section/section-brotto/,,,,
Q133724250,SAT Yxlan,relation,19020310,https://stockholmarchipelagotrail.com/section/section-yxlan/,,,,
Q133724252,SAT Möja,relation,19023630,https://stockholmarchipelagotrail.com/section/section-moja,,,,
Q133724254,SAT Furusund,relation,19016187,https://stockholmarchipelagotrail.com/section/section-furusund/,,,,
Q133724255,SAT Sandhamn,relation,19081125,https://stockholmarchipelagotrail.com/section/section-sandhamn/,,,,
Q133794691,Norra skogens naturreservat,way,1331536835,https://www.lansstyrelsen.se/stockholm/om-oss/om-lansstyrelsen-stockholm/lanets-forfattningssamling/forfattningar-2024/forfattningssamling-2024/2024-11-27-01fs-202441.html,,,,
Q133812569,Möja Värdshus,node,13190933132,https://mojavardshus.se/,,,,
Q133812682,Jeppes Gästgiveri,node,5012735219,,,We 12:00-20:00; Th 12:00-20:00; Fr 12:00-22:00; Sa 12:00-22:00; Su 12:00-15:00,,
Q133825090,Utö Värdshus vandrarhem,way,229110248,https://www.utovardshus.se/boende/vandrarhemmet/,"Vandrarhem i tre plan med 73 bäddar, gemensamt kök och dusch/wc i korridor.",,,
Q133829368,Bistro Sågen,node,13190913407,https://www.bistrosagen.se/,Restaurant and bistro on Svartsö with seasonal opening hours,Aug 19-Sep 20: Tu-Th 12:00-16:00; Fr-Sa 12:00-22:00; Su 12:00-16:00; Sep 26-Dec 12: Fr 17:00-22:00,"Lamm & Skördelördag 20/9 med marknad, skördelunch och middag på Svartsö Krog",https://bistrosagen.se/oppettider/
Q133829728,grillplats Sydfladen,node,11148106242,https://grillplatser.nu/Grillplats/Visa/Sydfladen-pa-Stora-Jolpan-1,,,,
Q133829736,STF Finnhamn vandrarhem,node,268908517,https://www.svenskaturistforeningen.se/boende/stf-finnhamns-vandrarhem/,,,,
Q133829773,Finnhamn Lammuddens vindskydd,node,12736629494,https://grillplatser.nu/Grillplats/Visa/Lammuddens-vindskydd,,,,
Q133830137,Lammuddens grillplats,node,12736629495,https://grillplatser.nu/Grillplats/Visa/Lammuddens-vindskydd,,,,
Q133830659,Grillplats Talludden,node,11148075050,https://grillplatser.nu/Grillplats/Visa/Vindskydd-Talludden,,,,
Q133830825,"Ragnars kiosk, grillplats",node,11148319151,https://grillplatser.nu/Grillplats/Visa/Ragnars-kiosk,,,,
Q133830844,"Vandrarhemmet, grillplats",node,11148146209,https://grillplatser.nu/Grillplats/Visa/Vandrarhemmet,,,,
Q133840505,Utö Värdshus,way,229110282,https://www.utovardshus.se/,,Jun 20-Aug 10 Mo-Su 12:00-21:00,,
Q133840685,Utö camping grillplats 2,node,12740404960,https://grillplatser.nu/Grillplats/Visa/Uto-taltplats-2,,,,
Q133841438,Utö camping grillplats 3,node,12740540028,https://grillplatser.nu/Grillplats/Visa/Uto-taltplats,,,,
Q133841778,Utö camping grillplats,node,12740540028,https://grillplatser.nu/Grillplats/Visa/Uto-taltplats,,,,
Q133848185,"grillplats, Ornö museum",node,12744311542,https://grillplatser.nu/Grillplats/Visa/Vindskydd-Talludden,,,,
Q133848857,"Västanviks grillplats, Ornö",node,12745161549,https://grillplatser.nu/Grillplats/Visa/Vastanvik-Orno,,,,
Q133850783,Skärgårdsmuseet Nämdö,way,832213123,,,13:00-16:00,,
Q133863316,Furusund grillplats Fotbollsplan,node,12749568009,https://grillplatser.nu/Grillplats/Visa/Grinda-taltplatsen-vastra-2,,,,
Q133864540,"Harviken, grillplats",node,12723107960,https://grillplatser.nu/Grillplats/Visa/Harviken,,,,
Q134523792,Hotell Furusund,node,443132454,https://hotellfurusund.se/,"Hotell, restaurang och konferensanläggning vid Furusunds hamn. Öppet året runt med helgservering under lågsäsong.","Fr-Su open ""Kontrollera säsong och bokning""",,
Q134527248,Köpmanholms Lanthandel och Grill,node,12072082597,https://www.facebook.com/kjorren,,Mo-Sa 10:00-17:00; Su 10:00-16:00,,
Q134529043,Ornö Brödbod Deli,node,2996710479,,Bread selling point with fresh bread delivered from the coast (Dalaröbageriet).,Mo-Sa 09:30-13:00; Su 10:30-13:00,,
Q134529240,Svartsö lanthandel,node,436368336,,,opening_hours=Oct-Mar Mo-We 09:00-13:00; Oct-Mar Th-Fr 09:00-17:00; Oct-Mar Sa 10:00-13:00; Oct-Mar Su off,,
Q134537879,"Vänsvik udd, Nåttarö grillplats",node,12849416949,https://grillplatser.nu/Grillplats/Visa/Vanviks-udd,,,,
Q134539208,Kayakomat Stockholms Skärgård Ornö,way,1385588405,https://www.kayakomat.com/sv/location/62759be2e723075c0cc83b9e,,May 1-Sep 27 24/7,,
Q134570185,Norr Storsand grillplats,node,12748117653,https://grillplatser.nu/Grillplats/Visa/Norr-storsand,,,,
Q134570492,Nåttarö västra campingen grillplats,node,12861905256,https://grillplatser.nu/Grillplats/Visa/Nattara-vastra-camping,,,,
Q134571436,Svartsö skärgårdshotell och vandrarhem,relation,15033302,https://www.svartsonorra.se/,,,,
Q134572369,Svedtiljas Lotstornet,node,6896453268,https://www.g-mo.se/hotell/,,,,
Q134578337,Grillplats Storsand,node,12748117658,https://grillplatser.nu/Grillplats/Visa/Grillplats-Storasand,,,,
Q134579695,Storsand Nåttarö grillplats,node,7791350755,https://grillplatser.nu/Grillplats/Visa/Storsand-Nattaro,,,,
Q134579808,Storsand grillplats 2 Nåttarö,node,12748117663,https://grillplatser.nu/Grillplats/Visa/Storasand-2,,,,
Q134580000,SAT grill södra Storsand Nåttarö,node,12748117664,https://grillplatser.nu/Grillplats/Visa/SAT-grill-Storsand,,,,
Q134582361,Noret Fjärdlång grillplats,node,12770338575,https://grillplatser.nu/Grillplats/Visa/Noret-Fjardlang,,,,
Q134582792,Skarsand SAT grillplats,node,12865388855,https://grillplatser.nu/Karta/Skarsand-SAT-grillplats,,,,
Q134582833,Skarsand SAT grillplats 2,node,12865415666,https://grillplatser.nu/Grillplats/Visa/Skarsand-SAT-grillplats,,,,
Q134583309,Skarsand 1 grillplats,node,12865440356,https://grillplatser.nu/Grillplats/Visa/Skarsand-1-2,,,,
Q134583669,Svartsö krog,node,822527382,https://www.svartsonorra.se/,"Vandrarhem och hotell på Svartsö i Stockholms skärgård med 56 bäddar, cykeluthyrning och gästbåtsplatser 600 m österut. Öppet året runt, 100 meter till närmaste badstrand och mindre än 1 km till badplats. 2,5 timme med Waxholmsbåt från Stockholm.",24/7,,https://www.svartsonorra.se/
Q134587349,Östermarkiosken,way,833557518,https://www.nattaroboden.se/hem/ostermarkiosken/,,,,
Q134587569,Nåttarö naturreservat,relation,1463792,https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/nattaro.html,"Inom reservatet är det inte tillåtet

• tälta mer än två dygn i följd annat än på  anvisad plats • under längre tid än två dygn i följd  förankra båt vid annan plats än brygga  eller båthamn

se vidare Länsstyrelsens regler",,,
Q134588307,Låttas bageri,node,2208328978,https://www.runmaro.se/handla,,Jun 01-Aug 08 Mo-Su 08:00-16:00; \,,https://www.facebook.com/people/L%C3%A5ttas-Bageri/100054446666474
Q134589066,Restaurang Svängen,node,2208326930,https://svangenrunmaro.se,,,,
Q134590423,Familjegrav Sundén Cullberg Sandhamn,node,13160006196,https://rotter.se/gsi/384795,,,,
Q134593823,Café Norrhamn,node,12210482861,https://visitlandsort.se/slappna-av-ma-bra/ata/landsorts-gasthamn/,"intermittent opening hours mostly in warmer season, call and ask",,,
Q134599402,Svartsö badplats,node,12210482861,https://visitlandsort.se/slappna-av-ma-bra/ata/landsorts-gasthamn/,"intermittent opening hours mostly in warmer season, call and ask",,,
Q134605030,Ålö Storsand dricksvatten,node,3431736753,,Dricksvattenpump på Stora Sand,,,
Q134607564,Rånöhamn dricksvatten,node,1392309442,,Påslaget 2025-08-02,,,
Q134615237,Wibomska villan,way,223271139,https://ranoseglarlager.nu/,,,,
Q134619296,Rånö gård,way,1391084662,https://skargardsguiding.se/sodra-skargarden/rano/,,,,
Q134625714,Roddbåtar att korsa mellan Finnhamn till Ingmarsö,way,39504808,,,24/7,,
Q134667339,Arholma dansbana,node,1430936608,https://arholmadansbana.se,,,,
Q134676671,Arholma Nord,node,5745003239,https://arholmanord.se,,,,
Q134688746,Arholma Nord badplats,node,12880191432,https://www.arholma.nu/se-uppleva/badplatser,,,,
Q134692920,"Nämdö Krogen, Solvik",node,12881274960,https://www.namdosolvik.com/,,,,
Q134693218,Kyrkvikens Bar & Bistro Ornö,node,2295166432,https://www.ornokrog.se/,,Mo-Su 12:00-23:00,,
Q134705637,Ingmarsö bageri,node,9937193058,https://ingmarsobageri.com,,"Jun 24-Aug 9 Mo-Su 08:00-21:00; Aug 10-16 Mo-Su 08:00-14:00; Aug 25-Oct 2 Mo-Th 11:30-13:00, Sa 08:00-14:00; Oct 4 Sa 10:00-13:00",,https://ingmarsobageri.com/oppettider/
Q134705878,Ingmarsö bread and breakfast,node,5856137503,https://www.ingmarsobnb.se/,,Apr 1-Oct 1; Dec 13 open,,
Q134710931,Grinda stugby,node,4428110501,https://grinda.se/mat-fest/wardshuset/,,,,
Q134711795,Framfickans restaurang,node,863394727,https://grinda.se/mat-fest/bageri/,,,,
Q134713103,Grinda bageri,node,863394727,https://grinda.se/mat-fest/bageri/,,,,
Q134776776,Nåttarö nya gästhamn,node,12899347960,https://nattaro.se/gasthamn/,,,,
Q134881286,Hammerska ladan,way,388325539,https://hammerskaladan.se/,,,,
Q134889150,Norrötorpet,way,290833701,https://skargardsstiftelsen.se/boka-boende/,,,,
Q134889482,"Fjärdlång, Sjunkviken naturhamn",node,12912861744,https://www.explorearchipelago.com/sv/sthlm/sodra-skargarden/fjardlang,,,,
Q134889616,"Fjärdlång, Mörkviken naturhamn",node,12912946927,https://www.explorearchipelago.com/sv/sthlm/sodra-skargarden/fjardlang,,,,
Q134889928,"Fjärdlång, gästhamn",node,12913032579,https://www.explorearchipelago.com/sv/sthlm/sodra-skargarden/fjardlang,,,,
Q134895185,Bryggans lilla kök,way,1395293068,https://www.brygganscafe.se/,,,,
Q134985579,Ålö brygga dricksvatten,node,5728811330,,fungerar 20250804 egen test,,,
Q134987122,Nåttarö vandrarhem dricksvatten,node,4879006116,,sitter skylt ”pga Vattenbrist är vattnet missfärgat. Går bra att diska och tvätta sig. Drick ej”,,,
Q135003463,Svedtiljas restaurang,way,383557275,https://www.g-mo.se/restaurang-svedtiljas/,,,,
Q135010859,Hjärtstarare västra hamnen Landsort,node,12804831701,,,24/7,,
Q135027143,Cykel i Västerhamn,node,12946707428,https://visitlandsort.se/slappna-av-ma-bra/vandra-cykla-motionera/cykel-i-vasterhamn/,,,,
Q135027417,museet på Landsort,way,1408810518,https://visitlandsort.se/maritima-kulturarvet/skargardssamhallet-landsort/museum/,,,,
Q135035871,Fjärdlång tältplats dricksvatten,node,2943477517,,Ej på 2025 juni verkar inte sättas på 2025,,,
Q135045291,Vandringsskylt SAT Landsort,node,12944833081,https://stockholmarchipelagotrail.com/section/section-landsort,,,,
Q135045359,Vandringsskylt SAT Nåttarö,node,12837567381,https://stockholmarchipelagotrail.com/section/section-nattaro/,,,,
Q133864761,Knicksand grillplats,node,12722761765,https://grillplatser.nu/Grillplats/Visa/Knicksand-Rano-1,2 bord med bänkar,,,
Q133864801,Knicksand grillplats,node,12722789034,https://grillplatser.nu/Grillplats/Visa/Knicksand-Rano,2 bord med bänkar,,,
Q133872120,Lidö Österhamn grillplats,node,12755413219,https://grillplatser.nu/Grillplats/Visa/Osterhamn-Lido,,,,
Q133884655,Roddbåtar att korsa mellan Ingmarsö till Finnhamn,way,39504808,,,24/7,,
Q133993440,"Fjärdlång bryggan, grillplats",node,12770512759,https://grillplatser.nu/Grillplats/Visa/Fjardlang-brygga,,,,
Q133993942,Fjärdlång tältplats,node,2550378999,https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/fjardlang.html,Looks like no dringing water 2025,,,
Q134005778,"Thielska villan, grillplats, Fjärdlång",node,12771043917,https://grillplatser.nu/Grillplats/Visa/Thielska-villan,,,,
Q134006267,"Fjärdlång tältplats, grillplats",node,12769968654,https://grillplatser.nu/Grillplats/Visa/Fjardlangen-1,,,,
Q134082735,Östemar grillplats nya,node,12748135194,https://grillplatser.nu/Grillplats/Visa/Ostermar-2,,,,
Q134083897,Nåttarö tältplats,relation,11478821,https://nattaro.se/boende/,,,,
Q134310117,Grinda Lanthandel och Cafe,way,247542038,https://grinda.se/mat-fest/lanthandel-cafe/,,Apr 30-Sep 07 Mo-Su 08:00-19:30,,=https://grinda.se/mat-fest/lanthandel-cafe/
Q134311974,Runmarö lanthandel,way,495386320,https://www.runmarolanthandel.se/,,"Mo-Fr 10:00-18:30; Sa,Su 11:00-14:30",,
Q134312278,Utö livs,way,229110286,https://www.ica.se/butiker/nara/haninge/uto-livs-1003851/,,Sep 1-Apr 30: Mo 10:00-17:00; Tu off; We 10:00-17:00; Th off; Fr 10:00-17:00; Sa 10:00-14:00; Su off; May 1-Aug 31: Mo-Su 08:00-18:00,,https://www.ica.se/butiker/nara/haninge/uto-livs-1003851/
Q134366690,Lidö tältplats,node,5670064974,https://lidovardshus.com/gsthamnen,,,,
Q134366761,Arholma tältplats,node,2960935621,https://arholma.nu/besok-arholma/hitta-boende/,,,,
Q134369828,Nämdö tältplats,node,12813901080,https://www.namdo.nu/portal/att_resa/att_resa.shtml#sleep,,,,
Q134373707,Yxlö brygga grillplats,node,12814390356,https://grillplatser.nu/Grillplats/Visa/Yxlo-brygga,,,,
Q134442339,Utö gula villan,way,322949084,https://gulavillanuto.se/,,,,
Q134443760,"Källarstugan, Arholma",way,465662338,https://www.arholma.nu/hitta-boende/kallarstugan,,,,
Q134445091,Aktiv Skärgård Utö,way,229605231,https://www.aktivskargard.se/,,24/7,,
Q134452061,Rånö tältplats,node,5798509129,https://www.visitskargarden.se/boende/camping/raanoe-camping.aspx,,,,
Q134461524,Idholmens grillplats,node,11148400849,https://grillplatser.nu/Grillplats/Visa/Idholmen,,,,
Q134461930,Finnhamns Krog,node,268910309,https://www.facebook.com/finnhamnskrog,,Jun 1-15: Mo-Fr 12:00-21:00; Sa 12:00-23:00; Su 12:00-21:00; ,,https://finnhamn.se/ata/
Q134463083,Finnhamn södra tältplats,way,1416109773,https://finnhamn.se/boende/,När du har betalt din tältavgift om 120 kr kan du duscha i stugbyn.,,,
Q134510130,Landsort vandrarhemmet,way,1178578023,https://www.landsortsvandrarhem.se/,,,,
Q135045488,Vandringsskylt SAT Nåttarö,node,12837532532,https://stockholmarchipelagotrail.com/section/section-nattaro/,,,,
Q135045682,Vandringsskylt SAT Nåttarö,node,12837227282,https://stockholmarchipelagotrail.com/section/section-nattaro/,,,,
Q135046168,Vandringsskylt SAT Nåttarö,node,12838471017,https://stockholmarchipelagotrail.com/section/section-nattaro/,,,,
Q135046665,Vandringsskylt SAT Rånö,node,12759101764,https://stockholmarchipelagotrail.com/section/section-rano,,,,
Q135048658,Vandringsskylt SAT Ålö,node,12838455374,https://stockholmarchipelagotrail.com/section/section-alo/,,,,
Q135048975,Vandringsskylt SAT Ålö,node,12759188938,https://stockholmarchipelagotrail.com/section/section-alo/,,,,
Q135048998,Vandringsskylt SAT Ålö Utö,node,12759181942,https://stockholmarchipelagotrail.com/section/section-alo/,,,,
Q135049010,Vandringsskylt SAT Utö Ålö,node,12829605557,https://stockholmarchipelagotrail.com/section/uto/,,,,
Q135050059,Vandringsskylt SAT Utö,node,12759136097,https://stockholmarchipelagotrail.com/section/uto,,,,
Q135051272,Vandringsskylt SAT Utö,node,12759116768,https://stockholmarchipelagotrail.com/section/uto,,,,
Q135052427,Vandringsskylt SAT Utö,node,12880343679,https://stockholmarchipelagotrail.com/section/uto/,,,,
Q135052516,Vandringsskylt SAT Utö,node,12830388834,https://stockholmarchipelagotrail.com/section/uto/,,,,
Q135053596,Vandringsskylt SAT Ornö,node,12759074801,https://stockholmarchipelagotrail.com/section/section-orno,,,,
Q135054141,Vandringsskylt SAT Ornö,node,12759068968,https://stockholmarchipelagotrail.com/section/section-orno,,,,
Q135054293,Vandringsskylt SAT Ornö,node,12759068092,https://stockholmarchipelagotrail.com/section/section-orno,,,,
Q135054522,Vandringsskylt SAT Ornö,node,12759068970,https://stockholmarchipelagotrail.com/section/section-orno,,,,
Q135055618,Vandringsskylt SAT Ornö,node,12759062051,https://stockholmarchipelagotrail.com/section/section-orno,,,,
Q135056610,Vandringsskylt SAT Runmarö,node,12759045298,https://stockholmarchipelagotrail.com/section/section-runmaro,,,,
Q135057039,Vandringsskylt SAT Runmarö,node,12759112391,https://stockholmarchipelagotrail.com/section/section-runmaro/,,,,
Q135057751,Vandringsskylt SAT Grinda,node,12758924280,https://stockholmarchipelagotrail.com/section/section-grinda/,,,,
Q135057972,Vandringsskylt SAT Grinda,node,863394962,https://stockholmarchipelagotrail.com/section/section-grinda/,,,,
Q135060190,Vandringsskylt SAT Svartsö,node,12837723036,https://stockholmarchipelagotrail.com/section/section-svartso/,,,,
Q135060467,Vandringsskylt SAT Svartsö,node,12837652979,https://stockholmarchipelagotrail.com/section/section-svartso/,,,,
Q135060878,Vandringsskylt SAT Svartsö,node,12838059988,https://stockholmarchipelagotrail.com/section/section-svartso/,,,,
Q135061041,Vandringsskylt SAT Svartsö,node,12838059989,https://stockholmarchipelagotrail.com/section/section-svartso/,,,,
Q135061205,Vandringsskylt SAT Svartsö,node,12838486713,https://stockholmarchipelagotrail.com/section/section-svartso/,,,,
Q135062583,Vandringsskylt SAT Ingmarsö,node,6730659174,https://stockholmarchipelagotrail.com/section/section-ingmarso/,,,,
Q135063085,Vandringsskylt SAT Ingmarsö,node,12758854059,https://stockholmarchipelagotrail.com/section/section-ingmarso/,,,,
Q135063320,Vandringsskylt SAT Ingmarsö,node,12758913300,https://stockholmarchipelagotrail.com/section/section-ingmarso/,,,,
Q135063491,Vandringsskylt SAT Ingmarsö,node,12758929382,https://stockholmarchipelagotrail.com/section/section-ingmarso/,,,,
Q135063516,Vandringsskylt SAT Finnhamn,node,12771834467,https://stockholmarchipelagotrail.com/section/section-finnhamn,,,,
Q135064468,Vandringsskylt SAT Finnhamn,node,12838600542,https://stockholmarchipelagotrail.com/section/section-finnhamn,,,,
Q135064544,Vandringsskylt SAT Lidö,node,12758859016,https://stockholmarchipelagotrail.com/section/section-lido,,,,
Q135065022,Vandringsskylt SAT Lidö,node,12759055196,https://stockholmarchipelagotrail.com/section/section-lido,,,,
Q135065340,Vandringsskylt SAT Arholma,node,12758914941,https://stockholmarchipelagotrail.com/section/sat-arholma/,,,,
Q135085367,Rånö stugbyn dricksvattenpump,node,12722707517,,Handdriven vattenpump,,,
Q135086883,Vandringsskylt SAT Nämdö,node,12951960993,https://stockholmarchipelagotrail.com/section/section-namdo/,,,,
Q135087121,Vandringsskylt SAT Ornö,node,12951972175,https://stockholmarchipelagotrail.com/section/section-orno,,,,
Q135087297,Vandringsskylt SAT Ornö,node,12952012604,https://stockholmarchipelagotrail.com/section/section-orno,,,,
Q135103433,Ornö badplats Kyrkviken,node,12956347396,https://www.naturkartan.se/en/stockholms-lan/badplats-bp3,,,,
Q135107242,Svartsö Lanthandel  cykeluthyrning,node,12958498621,https://svartsolanthandel.se/cykeluthyrning,Cykeluthyrning på Svartsö vid lanthandeln. Uthyrning av vanliga cyklar och elcyklar. Kontakta butiken för bokning.,by_appointment,,https://svartsolanthandel.se/cykeluthyrning
Q135107753,Svartsö bryggcafe,node,4319184675,https://www.svartsolanthandel.se/,,May-Sep,,
Q135110110,Möja bageri,node,13157558827,https://mojavardshus.se/,,,,
Q135117359,Cykeluthyrning Tempo Runmarö,node,12962274334,https://www.runmarolanthandel.se/cyklar,,,,
Q135218755,Bastu på Nämdö,way,504184973,https://www.explorearchipelago.com/sv/sthlm/mellersta-skargarden/namdo/skargardsstiftelsens-bastu-pa-namdo,swish 1235686811,,,
Q135266166,Fältspatsgruva,way,1413799336,https://app.raa.se/open/fornsok/lamning/6ad14a02-97d5-4f42-98fd-b8bd11f6f265,,,,
Q135336466,Finnhamn gästhamn grillplats,node,13061778916,https://grillplatser.nu/Grillplats/Visa/Finnhamn-Vandrarhemsviken,,,,
Q135399764,Sliphuset Finnhamn,way,222762708,https://finnhamn.se/fest/,,,,
Q2301512,Utö naturreservat,relation,1463748,https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/uto.html,,,,
Q10605047,Nämdö naturreservat,relation,1463777,https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/namdo.html,,,,
Q10711622,Utö skjutfält,relation,10694833,https://www.forsvarsmakten.se/sv/aktuellt/viktiga-meddelanden/skjutfalt-och-avlysningar/,,,,
Q15695240,Bygdemuseet Ornö sockenstuga,way,227701074,,,Jun 1-30 Sa 12:00-15:00; Jul 1-Aug 9 Tu-Su 12:00-16:00; Mo off; Aug 10-31 Sa 12:00-15:00,,
Q18291743,Lidö värdshus,way,455176637,https://lidovardshus.com,,,,
Q30164971,Ålö-Rånö naturreservat,relation,1463767,https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/alo-rano.html,"Föreskrifter\n
I reservatet är det förbjudet att:\n
\n1. medföra hund som inte är kopplad
\n1. elda annat än på anvisad plats
\n1. tälta mer än två dygn i följd, annat än på anvisad plats
\n\nse vidare Länsstyrelsens regler",,,
Q30165452,Arholma-Idö naturreservat,relation,1463750,https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/arholma-ido.html,,,,
Q30167695,Grinda naturreservat,relation,1463789,https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/grinda.html,,,,
Q63345339,Drottninggrottan,node,3297305397,,,24/7,,
Q106678630,Jerkers uddes badplats,node,12905547872,https://www.naturkartan.se/sv/stockholms-lan/runmaro-badplats-jerkers-udde,,,,
Q135423081,Östanviks gårdsbutik,node,1315261774,https://xn--nmdskrgrden-l8aeq3w.se/utbud-aktiviteter/ostanviks-gard-gardsbutik,,,,
Q135423626,Solberga gårdsbutik,node,13013411958,https://www.solbergagard.nu/butik.htm,,,,
Q135428282,Sandhamn Missionshuset Bed & Breakfast,node,13014966006,https://sandhamns-vardshus.se/boende,,,,
Q135475767,Sands Hotell,way,329728726,https://sandshotell.se/,,,,
Q135883737,Grillplats Nordvästra Nåttarö vid Naturhamnen,node,13076091033,https://grillplatser.nu/Grillplats/Visa/Nordvastra-Nattaro-vid-Naturhamnen,,,,
Q135900081,Vandringsskylt SAT Arholma,node,13077798237,https://stockholmarchipelagotrail.com/section/sat-arholma/,,,,
Q135900415,Ahlmansvikens gästhamn,way,471412287,https://www.explorearchipelago.com/sv/sthlm/norra-skargarden/arholma/arholma-ahlmansviken-2,,,,
Q135900640,Vandringsskylt SAT Arholma,node,13077967040,https://stockholmarchipelagotrail.com/section/sat-arholma/,,,,
Q135901115,Vandringsskylt SAT Arholma,node,13078172838,https://stockholmarchipelagotrail.com/section/sat-arholma/,,,,
Q135917318,Ragnars kiosk kajaker,node,12864797308,https://finnhamn.se/aktiviteter/,,Jun-Aug 08:30-21:00,,
Q135969918,"Grillplats 2 vid badstrand, Grinda",node,13097085019,https://grillplatser.nu/Grillplats/Visa/Badstrand-Grinda,,,,
Q135972925,Källvikens bastu,way,1392291391,https://www.bastuplatsen.se/bastur/blog-post-title-four-s6gm7-cepa2,,,,
Q135973655,Vandringsskylt SAT Grinda,node,13097861489,https://stockholmarchipelagotrail.com/section/section-grinda/,,,,
Q136036748,Grillplats Grinda stugbyn,node,13096084423,https://grillplatser.nu/Grillplats/Visa/SAT-Grinda-grillplats-stugbyn-2,,,,
Q136087206,"Bistro bryggan, grillplats",node,13063609062,https://grillplatser.nu/Karta/Sagens-brygga,,,,
Q136193620,Finnhamns bastu,way,1305192609,https://finnhamn.se/butik/boka-bastu/,,Mo-Su 15:00-22:00,,
Q136214817,Vandringsskylt SAT Arholma,node,13135735705,https://stockholmarchipelagotrail.com/section/sat-arholma/,,,,
Q136298469,Grinda grillplats Klubbudden 2,node,13144859129,https://grillplatser.nu/Grillplats/Visa/Klubbudden-Grinda,,,,
Q136337568,"Saltvik grillplats, Möja",node,13157567395,https://grillplatser.nu/Grillplats/Visa/Sodra-Moja,,,,
Q136337707,Möja Turistförening,node,2349013040,,Turistbyrå,,,
Q136342609,Pentaboden,node,13159224340,https://sandhamns-vardshus.se/menyerpentaboden,,,,
Q136356030,Vandringsskylt SAT Möja,node,13164722417,https://stockholmarchipelagotrail.com/section/section-moja/,,,,
Q136363283,Södra Storsand Ålö grillplats,node,12738887791,https://grillplatser.nu/Grillplats/Visa/Sodra-Storsand-Alo,,,,
Q136374336,Skarsand norra grillplats,node,13037363260,https://grillplatser.nu/Grillplats/Visa/Skarsand-norra,,,,
Q136374419,Skarsand enkel grillplats,node,13037391403,https://grillplatser.nu/Grillplats/Visa/Skarsand-enkel-grillplats,,,,
Q136390034,Vandringsskylt SAT Rånö,node,13176571935,https://stockholmarchipelagotrail.com/section/section-rano,,,,
Q136390863,Vandringsskylt SAT Rånö,node,13176615482,https://stockholmarchipelagotrail.com/section/section-rano,,,,
Q136391100,Vandringsskylt SAT Ingmarsö,node,13176634777,https://stockholmarchipelagotrail.com/section/section-ingmarso/,,,,
Q136433169,Seglarbaren,node,5005120551,https://www.utovardshus.se/restaurang/seglarbaren/,,opening_hours=Jun 21-Aug 10 12:00+,,
