Anläggningsår,Area,CHANGE_DATE,CID,CREATE_DATE,FEATURE_TYPE_OBJECT_ID,FEATURE_TYPE_VERSION_ID,Huvudman,ID,MAIN_ATTRIBUTE_DESCRIPTION,MAIN_ATTRIBUTE_VALUE,OBJECT_ID,VALID_FROM,VALID_TO,VERSION_ID,fid,FEATURE_TYPE_NAME,lon,lat
,4828.314,202005130505.0,1738443202243896.0,202005130505.0,17314453,1,SdF,,SdF,SdF,17384432,202005130505.0,,1,1,Hundrastgård,18.12568093167811,59.271014549057234
,982.746,202005130507.0,1738447502243939.0,202005130507.0,17314453,1,SdF,Ekhagen,SdF,SdF,17384475,202005130507.0,,1,2,Hundrastgård,18.056876430535162,59.37012809418761
,950.42,202005130506.0,1738445702243921.0,202005130506.0,17314453,1,SdF,Hundrastgård Sjösavägen,SdF,SdF,17384457,202005130506.0,,1,3,Hundrastgård,18.045433199273596,59.26693084877361
2011.0,997.487,202005130505.0,1738442902243893.0,202005130505.0,17314453,1,SdF,,SdF,SdF,17384429,202005130505.0,,1,4,Hundrastgård,18.081647339872767,59.26026530879051
2018.0,200.337,202203180505.0,1738442103296701.0,202005130505.0,17314453,1,SdF,"HRG 2 Blackeberg, Blackebergsbacken 60",SdF,SdF,17384421,202005130505.0,,1,5,Hundrastgård,17.87758235762067,59.34379287476375
,976.18,202005130505.0,1738441902243883.0,202005130505.0,17314453,1,SdF,Turingevägens hundrastgård,SdF,SdF,17384419,202005130505.0,,1,6,Hundrastgård,18.01756951881837,59.27092647859567
2013.0,629.34,202005130505.0,1738443002243894.0,202005130505.0,17314453,1,SdF,Bredängs hundrastgård ,SdF,SdF,17384430,202005130505.0,,1,7,Hundrastgård,17.919998512727854,59.29511329360441
,1670.721,202206110505.0,1738443403391360.0,202005130505.0,17314453,1,SdF,"HRG 4 Nockebyhov, Judarskogen Bergslagsv",SdF,SdF,17384434,202005130505.0,,1,8,Hundrastgård,17.917546712896417,59.341809844952934
,602.084,202005130506.0,1738446502243929.0,202005130506.0,17314453,1,SdF,,SdF,SdF,17384465,202005130506.0,,1,9,Hundrastgård,17.921702957855185,59.40605319883885
2019.0,2070.859,202012160505.0,1787953402633327.0,202010290505.0,17314453,1,SdF,Lunda hund,SdF,SdF,17879534,202010290505.0,,1,10,Hundrastgård,17.876474606662196,59.38715814176755
,314.608,202111030505.0,1912184303129586.0,202111030505.0,17314453,1,SdF,-1,SdF,SdF,19121843,202111030505.0,,1,11,Hundrastgård,18.070716679404942,59.2971980066858
,1816.184,202005130507.0,1738446802243932.0,202005130507.0,17314453,1,SdF,,SdF,SdF,17384468,202005130507.0,,1,12,Hundrastgård,17.935162340189926,59.39676585262883
2016.0,982.209,202005130507.0,1738447602243940.0,202005130507.0,17314453,1,SdF,,SdF,SdF,17384476,202005130507.0,,1,13,Hundrastgård,17.920585330674513,59.295148685133476
,1576.262,202111120505.0,1738444103140769.0,202005130506.0,17314453,1,SdF,Hundrastgård Blåsutvägen,SdF,SdF,17384441,202005130506.0,,1,14,Hundrastgård,18.091209803638282,59.292377094518656
,1717.078,202005260505.0,1740551302258168.0,202005260505.0,17314453,1,SdF,,SdF,SdF,17405513,202005260505.0,,1,15,Hundrastgård,17.85924928812191,59.364253000214894
,830.733,202005130505.0,1738441502243879.0,202005130505.0,17314453,1,SdF,,SdF,SdF,17384415,202005130505.0,,1,16,Hundrastgård,18.10678215961457,59.31128559436629
,7693.914,202005130507.0,1738446702243931.0,202005130507.0,17314453,1,SdF,Prins Eugens väg,SdF,SdF,17384467,202005130507.0,,1,17,Hundrastgård,18.117167850692624,59.32296730790429
2000.0,97.035,202005130506.0,1738443702243901.0,202005130506.0,17314453,1,SdF,,SdF,SdF,17384437,202005130505.0,,1,18,Hundrastgård,18.05951723445395,59.320814878271314
2013.0,470.729,202005130505.0,1738443102243895.0,202005130505.0,17314453,1,SdF,,SdF,SdF,17384431,202005130505.0,,1,19,Hundrastgård,18.034795874798668,59.344056758500905
,11187.952,202005130506.0,1738444302243907.0,202005130506.0,17314453,1,SdF,,SdF,SdF,17384443,202005130506.0,,1,20,Hundrastgård,18.03919776497175,59.25089914272895
,3669.868,202005130507.0,1738447402243938.0,202005130507.0,17314453,1,SdF,Hjorthagen,SdF,SdF,17384474,202005130507.0,,1,21,Hundrastgård,18.092425629899388,59.35546984821622
,3584.709,202502210505.0,1738442805263905.0,202005130505.0,17314453,1,SdF,,SdF,SdF,17384428,202005130505.0,,1,22,Hundrastgård,17.99747524919679,59.31229079998255
,571.277,202005130506.0,1738444002243904.0,202005130506.0,17314453,1,SdF,,SdF,SdF,17384440,202005130506.0,,1,23,Hundrastgård,17.916477190619997,59.417618655809214
2015.0,2317.913,202005130506.0,1738445502243919.0,202005130506.0,17314453,1,SdF,,SdF,SdF,17384455,202005130506.0,,1,24,Hundrastgård,18.018169934014786,59.33101732538019
,780.138,202401030505.0,2122741804563948.0,202401030505.0,17314453,1,SdF,,SdF,SdF,21227418,202401030505.0,,1,25,Hundrastgård,18.066596289594248,59.245544926551695
,870.605,202008120505.0,1761553302375948.0,202008120505.0,17314453,1,SdF,,SdF,SdF,17615533,202008120505.0,,1,26,Hundrastgård,18.064131443578734,59.26565334151106
,779.946,202111090505.0,1912889303136815.0,202111090505.0,17314453,1,SdF,-1,SdF,SdF,19128893,202111090505.0,,1,27,Hundrastgård,18.05139183458917,59.30173349756748
,642.999,202005130506.0,1738446402243928.0,202005130506.0,17314453,1,SdF,Hundrastgård vid Enskedefältets skola,SdF,SdF,17384464,202005130506.0,,1,28,Hundrastgård,18.068480737504263,59.2811860908791
2018.0,187.527,202005160505.0,1739005602247568.0,202005160505.0,17314453,1,SdF,,SdF,SdF,17390056,202005160505.0,,1,29,Hundrastgård,18.055808248346324,59.34191297279342
2022.0,705.351,202411120505.0,2036971005098886.0,202303180505.0,17314453,1,SdF,Hagsätraskogens hundrastgård,SdF,SdF,20369710,202303180505.0,,1,30,Hundrastgård,17.998774374782794,59.26576588016784
,487.719,202203180505.0,1738444203296698.0,202005130506.0,17314453,1,SdF,"HRG 3 Annedal, Dartanjangs gata 21X",SdF,SdF,17384442,202005130506.0,,1,31,Hundrastgård,17.943906339093644,59.36300320824194
,3512.7,202302220505.0,2032276203946589.0,202302220505.0,17314453,1,SdF,,SdF,SdF,20322762,202302220505.0,,1,32,Hundrastgård,17.92297582790394,59.38875203044579
,3037.093,202304210505.0,2041625904033007.0,202304210505.0,17314453,1,SdF,Tystbergavägen,SdF,SdF,20416259,202304210505.0,,1,33,Hundrastgård,18.040020140112475,59.2782031766353
,279.244,202005130506.0,1738445102243915.0,202005130506.0,17314453,1,SdF,,SdF,SdF,17384451,202005130506.0,,1,34,Hundrastgård,18.073634397385575,59.3156888580246
,195.887,202005130505.0,1738442502243889.0,202005130505.0,17314453,1,SdF,,SdF,SdF,17384425,202005130505.0,,1,35,Hundrastgård,18.041391284146435,59.31407246970387
,248.198,202005130506.0,1738444502243909.0,202005130506.0,17314453,1,SdF,,SdF,SdF,17384445,202005130506.0,,1,36,Hundrastgård,18.077951866150617,59.309798928467636
,969.25,202304210505.0,1738445604032998.0,202005130506.0,17314453,1,SdF,,SdF,SdF,17384456,202005130506.0,,1,37,Hundrastgård,18.05068472871811,59.319389624218815
,2785.715,202005130506.0,1738446302243927.0,202005130506.0,17314453,1,SdF,Kampementet,SdF,SdF,17384463,202005130506.0,,1,38,Hundrastgård,18.10325204539589,59.34448584797571
2024.0,155.218,202406180505.0,2188906804897433.0,202406180505.0,17314453,1,SdF,Älvsborgsgatan,SdF,SdF,21889068,202406180505.0,,1,39,Hundrastgård,18.072911233744705,59.309296049002704
,1443.853,202005130505.0,1738443302243897.0,202005130505.0,17314453,1,SdF,,SdF,SdF,17384433,202005130505.0,,1,40,Hundrastgård,17.98503926219862,59.28942598585113
,988.36,202005130505.0,1738441402243878.0,202005130505.0,17314453,1,SdF,,SdF,SdF,17384414,202005130505.0,,1,41,Hundrastgård,18.036312713330055,59.331937287193334
2018.0,845.467,202203180505.0,1738441703296700.0,202005130505.0,17314453,1,SdF,"HRG 6 Ulvsunda Industri, Bryggeriv.10",SdF,SdF,17384417,202005130505.0,,1,42,Hundrastgård,17.96960274505067,59.35014681934078
,1861.381,202005130506.0,1738444602243910.0,202005130506.0,17314453,1,SdF,,SdF,SdF,17384446,202005130506.0,,1,43,Hundrastgård,18.055651044218042,59.34820194589223
2024.0,1958.219,202412210505.0,2259964505180073.0,202412210505.0,17314453,1,SdF,,SdF,SdF,22599645,202412210505.0,,1,44,Hundrastgård,18.06829852239155,59.258255613741
2021.0,277.612,202308230505.0,2073072804288396.0,202308230505.0,17314453,1,SdF,,SdF,SdF,20730728,202308230505.0,,1,45,Hundrastgård,18.0570577050645,59.3162021304008
,901.714,202402160505.0,1738442004657682.0,202005130505.0,17314453,1,SdF,,SdF,SdF,17384420,202005130505.0,,1,46,Hundrastgård,17.997606867466487,59.27104757391613
,924.901,202005130505.0,1738443502243899.0,202005130505.0,17314453,1,SdF,Hundrastgård Harpsundsvägen,SdF,SdF,17384435,202005130505.0,,1,47,Hundrastgård,18.04917204681554,59.259675650879394
2021.0,99.407,202508150505.0,2323368705484586.0,202508150505.0,17314453,1,SdF,,SdF,SdF,23233687,202508150505.0,,1,48,Hundrastgård,18.087935113731106,59.33164981376081
,1110.443,202508200505.0,2324099005491068.0,202508200505.0,17314453,1,SdF,,SdF,SdF,23240990,202508200505.0,,1,49,Hundrastgård,18.108141598500865,59.28925980396835
,3571.024,202503280505.0,1738446105307367.0,202005130506.0,17314453,1,SdF,,SdF,SdF,17384461,202005130506.0,,1,50,Hundrastgård,18.091797610707275,59.31162091774975
,413.115,202005130506.0,1738443802243902.0,202005130506.0,17314453,1,SdF,,SdF,SdF,17384438,202005130506.0,,1,51,Hundrastgård,18.025012995357457,59.335130479283514
,514.365,202011180505.0,1738441802595169.0,202005130505.0,17314453,1,SdF,,SdF,SdF,17384418,202005130505.0,,1,52,Hundrastgård,18.06997688989506,59.31564901088699
,653.448,202005130506.0,1738445202243916.0,202005130506.0,17314453,1,SdF,,SdF,SdF,17384452,202005130506.0,,1,53,Hundrastgård,18.040203458004076,59.339253855140086
,3036.74,202005130507.0,1738447302243937.0,202005130507.0,17314453,1,SdF,,SdF,SdF,17384473,202005130507.0,,1,54,Hundrastgård,18.04394589310508,59.31301154288134
2018.0,811.148,202005130505.0,1738442202243886.0,202005130505.0,17314453,1,SdF,,SdF,SdF,17384422,202005130505.0,,1,55,Hundrastgård,18.115222260207936,59.23484646903255
,2554.596,202010280505.0,1738442602568605.0,202005130505.0,17314453,1,SdF,,SdF,SdF,17384426,202005130505.0,,1,56,Hundrastgård,17.882780291692214,59.39688497986103
2018.0,751.168,202005130505.0,1738442702243891.0,202005130505.0,17314453,1,SdF,Hundrastgård,SdF,SdF,17384427,202005130505.0,,1,57,Hundrastgård,17.978372154297542,59.28670699140223
2013.0,1620.327,202005130506.0,1738444402243908.0,202005130506.0,17314453,1,SdF,,SdF,SdF,17384444,202005130506.0,,1,58,Hundrastgård,18.002517815711805,59.285671063445584
2012.0,683.008,202005130506.0,1738445802243922.0,202005130506.0,17314453,1,SdF,,SdF,SdF,17384458,202005130506.0,,1,59,Hundrastgård,18.096822382752848,59.249442724258664
2018.0,525.097,202005130507.0,1738446902243933.0,202005130507.0,17314453,1,SdF,,SdF,SdF,17384469,202005130507.0,,1,60,Hundrastgård,17.966580549115054,59.291657983512955
,750.361,202005130507.0,1738447102243935.0,202005130507.0,17314453,1,SdF,,SdF,SdF,17384471,202005130507.0,,1,61,Hundrastgård,18.109835861229097,59.30166259149178
2022.0,365.803,202206110505.0,1974953503391359.0,202206110505.0,17314453,1,SdF,,SdF,SdF,19749535,202206110505.0,,1,62,Hundrastgård,18.134918782961368,59.27898739182642
2020.0,910.072,202207060505.0,1791001403425680.0,202011180505.0,17314453,1,SdF,"HRG 1 Beckomberga, Beckomberga skogsv. 6",SdF,SdF,17910014,202011180505.0,,1,63,Hundrastgård,17.894603128089983,59.356198381853055
2020.0,365.663,202101290505.0,1817177602691587.0,202101290505.0,17314453,1,SdF,,SdF,SdF,18171776,202101290505.0,,1,64,Hundrastgård,18.00739880145989,59.33336557191193
,753.782,202103300505.0,1829268002784471.0,202103300505.0,17314453,1,SdF,,SdF,SdF,18292680,202103300505.0,,1,65,Hundrastgård,18.006697441951115,59.29384469172045
,414.024,202104070505.0,1830707702794948.0,202104070505.0,17314453,1,SdF,,SdF,SdF,18307077,202104070505.0,,1,66,Hundrastgård,18.035397456318844,59.3042156271492
,1619.452,202201220505.0,1937486503223660.0,202201220505.0,17314453,1,SdF,,SdF,SdF,19374865,202201220505.0,,1,67,Hundrastgård,18.085523356835633,59.29904471854784
2022.0,580.972,202212060505.0,2015924103815548.0,202212060505.0,17314453,1,SdF,,SdF,SdF,20159241,202212060505.0,,1,68,Hundrastgård,17.988218897763662,59.296640576134855
,831.562,202109140505.0,1897999803047885.0,202109140505.0,17314453,1,SdF,,SdF,SdF,18979998,202109140505.0,,1,69,Hundrastgård,18.0282133167676,59.303499889149315
2021.0,1641.87,202201040505.0,1929218003200963.0,202201040505.0,17314453,1,SdF,Glömmingeskogens hundrastgård,SdF,SdF,19292180,202201040505.0,,1,70,Hundrastgård,17.915427353845363,59.39419948997565
,523.601,202103300505.0,1738445002784488.0,202005130506.0,17314453,1,SdF,,SdF,SdF,17384450,202005130506.0,,1,71,Hundrastgård,17.941600004379485,59.40843334341027
,676.993,202005130506.0,1738444702243911.0,202005130506.0,17314453,1,SdF,,SdF,SdF,17384447,202005130506.0,,1,72,Hundrastgård,18.041233467793433,59.31852438943928
,934.192,202111030505.0,1912184403129587.0,202111030505.0,17314453,1,SdF,-1,SdF,SdF,19121844,202111030505.0,,1,73,Hundrastgård,18.049094939192862,59.29524900537494
2018.0,598.1,202005130505.0,1738442402243888.0,202005130505.0,17314453,1,SdF,,SdF,SdF,17384424,202005130505.0,,1,74,Hundrastgård,18.007318182213904,59.29915547768763
,2547.619,202005130506.0,1738445902243923.0,202005130506.0,17314453,1,SdF,,SdF,SdF,17384459,202005130506.0,,1,75,Hundrastgård,17.90905733020175,59.410505808694964
,1254.144,202011070505.0,1738441602581107.0,202005130505.0,17314453,1,SdF,,SdF,SdF,17384416,202005130505.0,,1,76,Hundrastgård,17.912096434621326,59.38057786475563
,623.623,202005130506.0,1738445402243918.0,202005130506.0,17314453,1,SdF,Gillerbacken hundrastgård,SdF,SdF,17384454,202005130506.0,,1,77,Hundrastgård,18.026673719862043,59.254241634121364
,718.814,202101270505.0,1816781102688416.0,202101270505.0,17314453,1,SdF,,SdF,SdF,18167811,202101270505.0,,1,78,Hundrastgård,18.043941607242417,59.334434201671385
,972.273,202005130505.0,1738442302243887.0,202005130505.0,17314453,1,SdF,Humlegården,SdF,SdF,17384423,202005130505.0,,1,79,Hundrastgård,18.07049992683996,59.33905934332742
,223.716,202005130506.0,1738446202243926.0,202005130506.0,17314453,1,SdF,Tessinparken,SdF,SdF,17384462,202005130506.0,,1,80,Hundrastgård,18.093921782346445,59.34491209866441
,312.284,202008120505.0,1761553402375949.0,202008120505.0,17314453,1,SdF,,SdF,SdF,17615534,202008120505.0,,1,81,Hundrastgård,18.082570544918884,59.26958569709294
2021.0,684.464,202203190505.0,1950384603298140.0,202203190505.0,17314453,1,SdF,"HRG 7 Ålsten, Kiselgränd 20",SdF,SdF,19503846,202203190505.0,,1,82,Hundrastgård,17.952018214063486,59.32881798182956
,643.756,202305050505.0,2043909904064542.0,202305050505.0,17314453,1,SdF,,SdF,SdF,20439099,202305050505.0,,1,83,Hundrastgård,18.00151693395634,59.32449738592198
,2417.832,202309210505.0,2084622604349461.0,202309210505.0,17314453,1,SdF,,SdF,SdF,20846226,202309210505.0,,1,84,Hundrastgård,17.936993967137926,59.40234933644908
2021.0,1408.689,202401100505.0,2127269004576459.0,202401100505.0,17314453,1,SdF,,SdF,SdF,21272690,202401100505.0,,1,85,Hundrastgård,18.108546851548226,59.26051761664222
,201.88,202508150505.0,2128833505484529.0,202401180505.0,17314453,1,SdF,,SdF,SdF,21288335,202401180505.0,,1,86,Hundrastgård,18.041889308983908,59.34882889264768
2019.0,462.869,202410080505.0,1738447005051797.0,202005130507.0,17314453,1,SdF,"HRG 5 Traneberg, Tranebergsv 8",SdF,SdF,17384470,202005130507.0,,1,87,Hundrastgård,17.99185065421423,59.33446643674246
2024.0,435.672,202412050505.0,2255247705153958.0,202412050505.0,17314453,1,SdF,,SdF,SdF,22552477,202412050505.0,,1,88,Hundrastgård,18.0619749700699,59.30981413016595
